source,target,anchor_text
https://www.engadget.com/products/microsoft/surface-laptop-3-15-inch/,https://www.engadget.com/2018-11-08-microsoft-surface-laptop-2-review-black.html,"13"" Surface Laptop"
https://www.engadget.com/products/microsoft/surface-laptop-3-15-inch/,https://www.engadget.com/2019-10-21-microsoft-surface-pro-7-review-usb-c-price-specs.html,Surface Pro 7
https://www.engadget.com/products/microsoft/surface-laptop-3-15-inch/,https://www.engadget.com/2019-10-10-dell-xps-13-2-in-1-review.html,Dell XPS 13 2-in-1
https://www.engadget.com/products/microsoft/surface-laptop-3-15-inch/,https://www.engadget.com/2019-04-04-dell-xps-13-review-perfect-ultraportable.html,Dell XPS 13
https://www.engadget.com/products/amazon/amazons-fire-7-2022/,https://www.engadget.com/amazon-fire-hd-8-review-130005977.html,superior HD display
https://www.engadget.com/products/oneplus/oneplus-10t/,https://www.engadget.com/2015-08-19-oneplus-2-review.html,OnePlus 2
https://www.engadget.com/2010-04-29-plantronics-explorer-395-bluetooth-headset-review.html,https://www.engadget.com/2010-01-18-aliph-jawbone-icon-the-ace-bluetooth-headset-review.html,Jawbone Icon
https://www.engadget.com/2010-07-30-apple-magic-trackpad-review.html,https://www.engadget.com/2009-12-10-wacom-bamboo-pen-and-touch-review.html,playing
https://www.engadget.com/2010-03-26-nvidia-unleashes-geforce-gtx-480-and-gtx-470-tessellation-monst.html,https://www.engadget.com/2009-09-23-ati-radeon-hd-5870-blazes-onto-the-scene-receives-approving-nod.html,HD 5870
https://www.engadget.com/2010-03-26-nvidia-unleashes-geforce-gtx-480-and-gtx-470-tessellation-monst.html,https://www.engadget.com/2009-09-30-ati-radeon-hd-5850-provides-scorching-performance-for-a-relative.html,HD 5850
https://www.engadget.com/products/oneplus/watch-2021/,https://www.engadget.com/2019-09-27-samsung-galaxy-watch-active-2-review-price-release-date.html,the Galaxy Watch Active 2
https://www.engadget.com/products/oneplus/watch-2021/,https://www.engadget.com/apple-watch-se-review-watchos-7-price-specs-comparison-172542713.html,Apple Watch SE
https://www.engadget.com/products/oneplus/watch-2021/,https://www.engadget.com/fitbit-charge-4-review-120052713.html,the Charge 4
https://www.engadget.com/products/oneplus/watch-2021/,https://www.engadget.com/2018-03-26-fitbit-versa-review.html,the older Versa
https://www.engadget.com/products/arturia/keystep-pro/,https://www.engadget.com/mod-duo-x-review-effects-pedal-synthesizer-music-153053192.html,MOD Duo X
https://www.engadget.com/products/arturia/keystep-pro/,https://www.engadget.com/moog-subharmonicon-semi-modular-synth-review-160011051.html,Moog Subharmonicon
https://www.engadget.com/products/arturia/keystep-pro/,https://www.engadget.com/2019-03-05-elektron-model-samples-review-groovebox.html,Model:Samples
https://www.engadget.com/products/arturia/keystep-pro/,https://www.engadget.com/2019-08-17-korg-volca-modular-west-coast-synth-review-weird-affordable.html,Volca Modular
https://www.engadget.com/products/arturia/keystep-pro/,https://www.engadget.com/erica-synths-pico-system-iii-modular-synthesizer-review-130001111.html,modular synths
https://www.engadget.com/2019-08-31-samsung-galaxy-note-10-review-s-pen.html,https://www.engadget.com/products/samsung/galaxy-s10/,the S10
https://www.engadget.com/2019-08-31-samsung-galaxy-note-10-review-s-pen.html,https://www.engadget.com/2019-08-22-samsung-galaxy-note-10-plus-review-s-pen.html,Chris Velazco has already gone over those in excruciating detail
https://www.engadget.com/2009-05-11-apple-rejects-bittorrent-control-app-from-app-store-because-it-m.html,https://www.engadget.com/2009-05-07-iphone-os-3-0-now-being-used-for-app-store-admission-reviews.html,advent of parental controls in iPhone OS 3.0
